location,bhk,washroom,total_sqft,furnishing,age,price,rent
Kamla Nagar,3,3,1495,Unfurnished,5-10 years,85.22,87153.67
Bawadiya Kalan,2,2,839,Fully Furnished,5-10 years,38.75,45044.29
Barkheda,3,3,1492,Fully Furnished,10+ years,70.02,60084.98
Bairagarh,2,2,989,Semi Furnished,5-10 years,53.04,57962.12
Shanti Nagar,3,3,1281,Semi Furnished,5-10 years,65.69,58241.71
Shivaji Nagar,3,3,1433,Fully Furnished,10+ years,97.74,101732.26
Shyamla Hills,4,3,1714,Unfurnished,10+ years,89.49,105593.89
Chuna Bhatti,3,3,1272,Fully Furnished,1-5 years,82.33,96367.59
Karond,5,4,2114,Unfurnished,10+ years,88.44,104315.55
MP Nagar,5,4,2610,Fully Furnished,New,148.67,131648.73
Ashoka garden,1,1,406,Semi Furnished,5-10 years,25.92,22600.17
kohefiza,3,3,1105,Fully Furnished,1-5 years,49.92,45840.47
Roshanpura,4,3,1863,Fully Furnished,New,83.84,96815.6
Anand nagar,1,1,619,Fully Furnished,1-5 years,30.65,31430.31
Saket nagar,4,3,1657,Fully Furnished,5-10 years,69.53,69364.75
eidgah hills,5,4,2019,Semi Furnished,New,97.54,112183.64
Misrod,5,4,2066,Semi Furnished,New,84.16,69163.81
Service road,2,2,794,Fully Furnished,1-5 years,42.73,36148.08
Govindpura,2,2,1158,Semi Furnished,5-10 years,67.8,64882.24
chuna bhatti,3,3,1378,Semi Furnished,5-10 years,58.86,67203.27
Ratnagiri,4,3,1828,Semi Furnished,1-5 years,81.78,73056.56
Saket nagar,3,3,1456,Semi Furnished,5-10 years,95.05,102040.18
Prabhat petrol pump,1,1,494,Fully Furnished,New,29.56,34742.44
ibrahimpura,5,4,2186,Semi Furnished,5-10 years,150.32,131882.71
Prabhat petrol pump,2,2,740,Unfurnished,10+ years,47.64,52310.07
char Imli,2,2,1139,Fully Furnished,5-10 years,75.73,88402.95
Sonagiri,3,3,1202,Semi Furnished,5-10 years,59.73,69492.36
New market,1,1,549,Unfurnished,5-10 years,32.86,33093.49
char Imli,5,4,2737,Semi Furnished,10+ years,166.26,154124.55
Bittan Market,5,4,2643,Semi Furnished,New,107.26,113045.01
Barkheda,4,3,1763,Fully Furnished,1-5 years,121.97,130143.04
Bairagarh,2,2,1156,Semi Furnished,5-10 years,78.76,68896.67
Hoshangabad Road,2,2,814,Fully Furnished,New,36.52,31845.69
Hoshangabad Road,3,3,1389,Semi Furnished,5-10 years,91.83,79279.16
Lalghati,4,3,2127,Unfurnished,New,137.24,151690.49
Indrapuri,2,2,865,Fully Furnished,1-5 years,59.37,50091.05
Bittan Market,4,3,1641,Unfurnished,1-5 years,110.91,125951.39
VIP road,4,3,1964,Fully Furnished,New,120.58,113955.97
Shivaji Nagar,1,1,737,Fully Furnished,5-10 years,42.37,40706.44
Vijay nagar,4,3,1767,Fully Furnished,10+ years,73.61,73345.6
Indrapuri,5,4,2324,Semi Furnished,1-5 years,120.76,139492.29
Nizamuddin colony,3,3,1508,Unfurnished,10+ years,82.64,76230.55
Bittan Market,2,2,1119,Unfurnished,New,56.94,58046.89
Kamla Nagar,4,3,1525,Semi Furnished,1-5 years,82.14,91035.73
Bairagarh,2,2,872,Fully Furnished,1-5 years,53.26,53229.75
Gulmohar,5,4,2007,Fully Furnished,New,94.51,108319.64
chuna bhatti,5,4,2593,Fully Furnished,5-10 years,171.08,139602.53
chuna bhatti,5,4,2699,Fully Furnished,10+ years,160.31,179772.99
sultaniya road,5,4,2874,Fully Furnished,1-5 years,161.25,151715.66
Bawadiya Kalan,2,2,1173,Fully Furnished,1-5 years,74.63,82220.2
chuna bhatti,2,2,1122,Fully Furnished,1-5 years,66.54,53785.94
Vikas Nagar,5,4,2477,Unfurnished,1-5 years,156.32,127955.81
Hoshangabad Road,4,3,2052,Semi Furnished,5-10 years,131.29,144973.96
char Imli,4,3,1632,Semi Furnished,New,87.48,84923.67
Shanti Nagar,5,4,2089,Fully Furnished,5-10 years,145.58,163244.05
Arjun Nagar,3,3,1271,Semi Furnished,10+ years,85.62,102119.61
Karond,5,4,2464,Fully Furnished,New,167.95,185962.07
Lalghati,4,3,1523,Semi Furnished,10+ years,103.41,117710.75
Sonagiri,5,4,2917,Fully Furnished,10+ years,188.96,168860.27
Gulmohar,2,2,988,Unfurnished,5-10 years,50.42,47074.67
Misrod,3,3,1436,Fully Furnished,5-10 years,63.28,64267.47
Shyamla Hills,1,1,550,Semi Furnished,New,29.42,27124.4
Shivaji Nagar,5,4,2861,Fully Furnished,10+ years,153.63,165073.12
Arjun Nagar,5,4,2298,Semi Furnished,New,130.72,150515.97
Kolar Road,2,2,870,Fully Furnished,5-10 years,56.0,57595.75
Kamla Nagar,1,1,548,Fully Furnished,1-5 years,37.92,42644.04
Barkheda,4,3,1437,Semi Furnished,10+ years,76.39,66087.97
jahangirabad,2,2,820,Unfurnished,5-10 years,57.1,66799.2
Lalghati,2,2,798,Unfurnished,New,54.29,63087.35
Tajul masjid,5,4,2786,Semi Furnished,New,112.36,98806.23
Kolar hills,3,3,1585,Fully Furnished,New,99.45,115816.18
Bittan Market,2,2,713,Unfurnished,New,47.62,40332.07
char Imli,3,3,1166,Semi Furnished,10+ years,58.77,60232.74
Anand nagar,2,2,960,Unfurnished,1-5 years,55.56,60788.73
Hoshangabad Road,5,4,2251,Unfurnished,New,99.02,115712.29
Indrapuri,1,1,535,Unfurnished,10+ years,35.35,29740.0
ibrahimpura,2,2,701,Fully Furnished,New,48.56,44753.26
Anand nagar,5,4,2749,Fully Furnished,New,148.65,120050.54
Bittan Market,3,3,1238,Semi Furnished,1-5 years,57.87,54454.94
sultaniya road,5,4,2183,Semi Furnished,5-10 years,105.7,118406.98
VIP road,4,3,1911,Semi Furnished,10+ years,89.37,91944.83
Ashoka garden,3,3,1493,Unfurnished,10+ years,62.45,69208.13
Bittan Market,5,4,2385,Fully Furnished,1-5 years,102.08,84926.22
Arjun Nagar,5,4,2381,Fully Furnished,New,163.01,189512.07
Nizamuddin colony,2,2,973,Semi Furnished,New,43.78,41668.59
Gandhi nagar,5,4,2394,Fully Furnished,10+ years,142.85,115960.4
chuna bhatti,5,4,2328,Semi Furnished,1-5 years,101.42,90593.22
Arera Colony,4,3,2174,Unfurnished,1-5 years,97.37,116332.83
Tajul masjid,1,1,575,Fully Furnished,New,33.92,35902.56
Piplani,5,4,2560,Semi Furnished,5-10 years,114.04,108047.72
Govindpura,5,4,2626,Fully Furnished,5-10 years,130.35,121381.38
chuna bhatti,4,3,1604,Fully Furnished,5-10 years,66.29,59743.75
Anand nagar,5,4,2615,Unfurnished,New,121.25,122687.1
Shanti Nagar,5,4,2352,Semi Furnished,1-5 years,105.56,106485.8
Kolar Road,5,4,2839,Unfurnished,1-5 years,140.23,135584.85
Anand nagar,3,3,1589,Unfurnished,5-10 years,76.65,82290.59
Indrapuri,3,3,1064,Semi Furnished,5-10 years,57.15,62668.79
Saket nagar,5,4,2860,Fully Furnished,5-10 years,198.61,209903.38
VIP road,2,2,1007,Semi Furnished,New,46.4,47119.03
Kolar Road,5,4,2913,Unfurnished,10+ years,122.86,119175.98
Bairagarh,5,4,2435,Fully Furnished,1-5 years,137.12,135249.86
Bittan Market,3,3,1588,Semi Furnished,5-10 years,101.52,88544.22
Vikas Nagar,2,2,1016,Semi Furnished,10+ years,63.8,69217.99
Ratnagiri,2,2,1141,Unfurnished,1-5 years,56.75,65489.37
Indrapuri,2,2,789,Unfurnished,5-10 years,50.89,43316.24
Chuna Bhatti,2,2,838,Fully Furnished,New,40.49,33534.99
Prabhat petrol pump,2,2,927,Semi Furnished,5-10 years,46.99,44187.38
Lalghati,3,3,1452,Fully Furnished,1-5 years,71.65,68332.02
New market,5,4,2610,Unfurnished,10+ years,113.7,120533.39
Roshanpura,5,4,2537,Unfurnished,1-5 years,135.13,113111.74
Bairagarh,2,2,1198,Semi Furnished,1-5 years,73.16,70608.37
Bawadiya Kalan,3,3,1118,Semi Furnished,1-5 years,57.0,59456.26
Ayodhya nagar,3,3,1299,Fully Furnished,10+ years,56.71,61757.84
Tajul masjid,4,3,1405,Semi Furnished,5-10 years,83.14,87904.71
Hoshangabad Road,4,3,1875,Fully Furnished,New,129.37,144795.82
Ayodhya nagar,3,3,1093,Unfurnished,New,73.31,64686.18
Barkheda,2,2,1156,Fully Furnished,5-10 years,58.13,59052.33
Barkheda,4,3,1995,Fully Furnished,10+ years,80.47,90252.25
Misrod,2,2,804,Fully Furnished,10+ years,51.54,44995.0
Kamla Nagar,1,1,792,Unfurnished,New,48.07,46474.96
Karond,1,1,609,Unfurnished,5-10 years,26.47,29636.81
Bairagarh,1,1,649,Unfurnished,5-10 years,43.65,37120.73
Ratnagiri,3,3,1550,Fully Furnished,5-10 years,103.03,118394.68
Piplani,3,3,1114,Semi Furnished,New,57.18,65351.83
MP Nagar,2,2,1115,Semi Furnished,5-10 years,72.79,58245.06
Arjun Nagar,2,2,769,Fully Furnished,1-5 years,43.71,48888.93
Lalghati,4,3,1527,Unfurnished,10+ years,89.14,96540.78
Bittan Market,2,2,980,Unfurnished,5-10 years,52.42,60207.38
jahangirabad,2,2,721,Fully Furnished,10+ years,32.45,31060.14
Ashoka garden,4,3,2195,Semi Furnished,10+ years,135.25,151369.99
kohefiza,4,3,1542,Fully Furnished,5-10 years,76.27,88927.04
Kolar Road,2,2,869,Fully Furnished,10+ years,53.07,58388.31
Minal,3,3,1358,Fully Furnished,1-5 years,83.78,70925.71
Shivaji Nagar,4,3,2064,Semi Furnished,5-10 years,94.11,93149.83
Gandhi nagar,1,1,649,Unfurnished,10+ years,39.02,43356.96
Narela,2,2,773,Semi Furnished,1-5 years,44.95,41027.09
Shivaji Nagar,2,2,763,Fully Furnished,5-10 years,51.12,51544.0
Ayodhya bypass,1,1,425,Semi Furnished,New,19.84,19142.87
Vijay nagar,3,3,1145,Unfurnished,10+ years,49.18,47164.81
Gulmohar,3,3,1429,Semi Furnished,New,65.58,71163.68
char Imli,5,4,2028,Fully Furnished,New,91.41,75549.64
VIP road,2,2,932,Semi Furnished,5-10 years,43.75,35194.91
Avadhpuri,1,1,436,Semi Furnished,1-5 years,17.63,16534.07
Hoshangabad Road,2,2,1036,Unfurnished,New,52.4,57246.53
Tajul masjid,2,2,724,Fully Furnished,1-5 years,31.51,33452.39
Narela,1,1,480,Semi Furnished,1-5 years,22.87,21225.91
Kolar hills,1,1,488,Semi Furnished,1-5 years,33.93,31342.69
Ratnagiri,5,4,2440,Fully Furnished,10+ years,105.69,86100.21
Roshanpura,2,2,1128,Fully Furnished,10+ years,68.61,72608.82
Shyamla Hills,2,2,1141,Semi Furnished,10+ years,55.47,62305.47
Misrod,4,3,1669,Fully Furnished,10+ years,88.56,92297.48
Indrapuri,2,2,766,Fully Furnished,New,43.41,38155.89
Nizamuddin colony,1,1,489,Unfurnished,5-10 years,27.77,23849.82
eidgah hills,4,3,1842,Fully Furnished,5-10 years,87.76,71489.17
Anand nagar,2,2,812,Unfurnished,1-5 years,36.62,43152.28
Saket nagar,4,3,1615,Unfurnished,1-5 years,78.42,75262.06
Kolar hills,1,1,492,Unfurnished,New,28.68,33322.04
sultaniya road,1,1,485,Semi Furnished,5-10 years,23.22,26625.77
Chuna Bhatti,1,1,637,Fully Furnished,New,27.44,22643.5
New market,1,1,587,Semi Furnished,1-5 years,33.95,36064.21
chuna bhatti,3,3,1117,Unfurnished,New,64.77,63477.02
Kamla Nagar,3,3,1147,Unfurnished,1-5 years,49.23,45884.99
Roshanpura,3,3,1518,Fully Furnished,New,104.7,86055.33
Anand nagar,2,2,845,Unfurnished,1-5 years,59.02,48637.28
Service road,1,1,729,Fully Furnished,1-5 years,40.81,39386.96
Saket nagar,5,4,2569,Fully Furnished,New,167.35,184266.15
Avadhpuri,5,4,2419,Unfurnished,10+ years,120.43,104514.26
Narela,3,3,1507,Semi Furnished,5-10 years,98.66,98353.25
Narela,2,2,754,Unfurnished,5-10 years,30.68,24870.11
jahangirabad,4,3,1815,Unfurnished,10+ years,91.94,107145.39
Shyamla Hills,2,2,1147,Fully Furnished,10+ years,48.3,48025.2
char Imli,2,2,959,Semi Furnished,New,46.09,54661.32
Anand nagar,5,4,2520,Fully Furnished,New,176.17,160659.4
Chuna Bhatti,2,2,910,Unfurnished,10+ years,62.48,50916.32
Saket nagar,5,4,2677,Semi Furnished,1-5 years,183.16,163687.7
Nizamuddin colony,4,3,1644,Semi Furnished,1-5 years,108.03,94160.69
Piplani,5,4,2519,Fully Furnished,10+ years,145.92,148454.7
Shivaji Nagar,4,3,1657,Fully Furnished,New,108.31,88887.67
Arjun Nagar,5,4,2743,Unfurnished,5-10 years,139.44,162163.17
Nizamuddin colony,4,3,1596,Unfurnished,New,103.48,108083.17
Lalghati,3,3,1479,Fully Furnished,New,100.12,94828.64
chuna bhatti,2,2,1161,Unfurnished,10+ years,53.26,42809.97
Arjun Nagar,3,3,1396,Fully Furnished,New,83.84,80229.3
Kamla Nagar,3,3,1208,Unfurnished,10+ years,65.85,70940.53
Tajul masjid,2,2,1168,Semi Furnished,New,61.02,57126.44
Ayodhya nagar,1,1,589,Unfurnished,5-10 years,34.87,29776.22
Kolar Road,3,3,1477,Semi Furnished,New,73.83,80442.67
Service road,4,3,1771,Semi Furnished,5-10 years,88.57,104629.64
Ayodhya bypass,4,3,1525,Semi Furnished,5-10 years,92.75,95064.82
Barkheda,3,3,1498,Unfurnished,New,73.92,59927.57
Kolar Road,2,2,1072,Unfurnished,5-10 years,67.03,61627.28
Sonagiri,5,4,2526,Unfurnished,10+ years,159.73,173271.15
Service road,1,1,755,Fully Furnished,5-10 years,46.07,38712.29
Bittan Market,2,2,783,Semi Furnished,10+ years,33.33,35499.48
Shyamla Hills,1,1,424,Unfurnished,10+ years,19.56,19892.79
MP Nagar,3,3,1320,Fully Furnished,New,73.25,59379.31
kohefiza,5,4,2211,Unfurnished,New,114.36,130057.88
Kolar Road,2,2,839,Fully Furnished,5-10 years,48.56,41894.49
Ayodhya bypass,1,1,585,Fully Furnished,5-10 years,31.49,26412.95
kohefiza,3,3,1146,Unfurnished,New,66.84,63378.6
Piplani,3,3,1311,Semi Furnished,New,65.02,62988.07
Chuna Bhatti,3,3,1347,Semi Furnished,10+ years,57.2,60779.06
Bittan Market,3,3,1172,Fully Furnished,1-5 years,48.84,40531.12
chuna bhatti,1,1,743,Semi Furnished,New,41.62,38685.32
Gulmohar,3,3,1312,Unfurnished,10+ years,85.55,96746.45
Barkheda,2,2,926,Fully Furnished,New,56.99,53518.4
Roshanpura,1,1,637,Fully Furnished,1-5 years,41.19,47828.37
Gandhi nagar,1,1,797,Unfurnished,10+ years,45.96,47071.65
Ayodhya bypass,1,1,465,Unfurnished,5-10 years,19.86,21155.0
Kolar Road,4,3,1870,Unfurnished,5-10 years,85.4,79074.63
ibrahimpura,2,2,1010,Semi Furnished,1-5 years,52.34,44173.55
Bawadiya Kalan,1,1,407,Unfurnished,1-5 years,25.58,24148.1
Chuna Bhatti,5,4,2294,Fully Furnished,10+ years,151.16,172559.98
Kolar Road,3,3,1449,Semi Furnished,10+ years,58.72,68328.2
jahangirabad,2,2,1100,Unfurnished,10+ years,46.89,45523.5
Ayodhya bypass,1,1,477,Unfurnished,5-10 years,20.14,17314.31
Misrod,4,3,1544,Unfurnished,1-5 years,96.53,100874.0
Prabhat petrol pump,4,3,1811,Fully Furnished,1-5 years,105.67,106598.06
Roshanpura,5,4,2688,Semi Furnished,New,178.8,194229.1
Ayodhya bypass,1,1,552,Semi Furnished,10+ years,37.46,34171.38
Govindpura,1,1,760,Unfurnished,1-5 years,32.78,37783.86
Govindpura,1,1,494,Semi Furnished,10+ years,33.06,31105.24
chuna bhatti,4,3,1746,Fully Furnished,5-10 years,75.74,89445.56
Ayodhya nagar,1,1,694,Semi Furnished,1-5 years,34.85,38643.69
Gandhi nagar,5,4,2289,Fully Furnished,1-5 years,135.47,135178.8
Avadhpuri,4,3,1731,Unfurnished,New,77.42,63572.26
Barkheda,5,4,2304,Fully Furnished,1-5 years,115.43,121948.77
New market,5,4,2707,Unfurnished,1-5 years,162.63,149720.17
Sonagiri,1,1,511,Fully Furnished,1-5 years,27.67,27934.41
Avadhpuri,1,1,455,Semi Furnished,New,30.22,33929.3
Minal,3,3,1387,Semi Furnished,New,75.0,76548.95
Chuna Bhatti,4,3,1514,Unfurnished,10+ years,87.16,80452.33
Indrapuri,3,3,1290,Unfurnished,New,72.84,69570.73
Lalghati,4,3,1492,Semi Furnished,10+ years,97.4,84005.83
Habibganj,2,2,796,Fully Furnished,5-10 years,33.39,29431.73
Kolar hills,4,3,2188,Fully Furnished,10+ years,104.37,102303.98
Roshanpura,2,2,973,Semi Furnished,5-10 years,58.81,66058.83
Saket nagar,4,3,1908,Semi Furnished,10+ years,126.25,121900.1
sultaniya road,3,3,1251,Fully Furnished,1-5 years,70.5,59792.34
Piplani,4,3,2082,Fully Furnished,10+ years,114.07,132979.81
Prabhat petrol pump,5,4,2867,Unfurnished,New,171.51,197983.6
Kolar hills,5,4,2364,Semi Furnished,New,106.12,101138.5
New market,1,1,522,Fully Furnished,New,22.31,21442.21
Shyamla Hills,5,4,2025,Semi Furnished,New,112.65,113745.2
Sonagiri,1,1,716,Fully Furnished,10+ years,34.58,28979.48
Service road,1,1,720,Unfurnished,New,42.34,39721.27
Indrapuri,1,1,587,Unfurnished,10+ years,27.01,30146.83
New market,4,3,1964,Unfurnished,New,109.3,99119.62
jahangirabad,3,3,1454,Fully Furnished,New,65.21,57756.71
Anand nagar,3,3,1539,Semi Furnished,New,85.81,81085.55
Vijay nagar,1,1,462,Semi Furnished,5-10 years,21.62,18563.23
VIP road,5,4,2686,Fully Furnished,New,131.5,107491.23
chuna bhatti,1,1,720,Fully Furnished,1-5 years,39.79,35014.07
Narela,1,1,612,Unfurnished,10+ years,26.19,24028.33
Barkheda,5,4,2568,Unfurnished,10+ years,140.36,124476.66
Saket nagar,2,2,709,Semi Furnished,10+ years,42.09,46627.71
Lalghati,1,1,701,Unfurnished,1-5 years,29.44,26693.15
Ayodhya nagar,3,3,1478,Semi Furnished,10+ years,88.45,73203.04
Roshanpura,2,2,947,Semi Furnished,New,43.76,35998.86
Bittan Market,1,1,688,Fully Furnished,10+ years,47.5,51397.77
Shyamla Hills,4,3,1480,Semi Furnished,10+ years,73.62,67666.56
Govindpura,2,2,1096,Fully Furnished,5-10 years,63.6,66822.2
Gandhi nagar,5,4,2292,Unfurnished,1-5 years,145.36,118867.38
MP Nagar,5,4,2171,Unfurnished,5-10 years,97.76,91648.67
New market,3,3,1463,Fully Furnished,10+ years,83.17,75141.15
Narela,5,4,2443,Fully Furnished,5-10 years,105.35,105695.04
kohefiza,4,3,1958,Semi Furnished,1-5 years,117.59,103811.06
Ashoka garden,1,1,800,Unfurnished,1-5 years,35.45,38179.07
ibrahimpura,3,3,1376,Fully Furnished,10+ years,73.68,59952.67
Shanti Nagar,2,2,897,Unfurnished,10+ years,47.87,47983.36
Anand nagar,3,3,1593,Fully Furnished,1-5 years,91.04,90450.58
Ashoka garden,1,1,709,Unfurnished,1-5 years,47.62,42353.35
Piplani,5,4,2299,Unfurnished,1-5 years,132.25,153995.69
Ashoka garden,4,3,1466,Fully Furnished,5-10 years,67.24,65586.82
Kolar hills,2,2,1057,Fully Furnished,10+ years,49.75,57602.91
Arera Colony,5,4,2831,Semi Furnished,1-5 years,148.62,173456.78
Indrapuri,4,3,1676,Fully Furnished,5-10 years,113.17,120257.27
Gandhi nagar,5,4,2954,Fully Furnished,5-10 years,121.53,131362.5
ibrahimpura,3,3,1151,Fully Furnished,5-10 years,54.9,46277.21
Arera Colony,3,3,1298,Fully Furnished,1-5 years,58.65,50873.34
Anand nagar,4,3,2163,Fully Furnished,New,141.69,115838.51
Sonagiri,4,3,1477,Semi Furnished,10+ years,71.64,75851.21
Karond,3,3,1296,Fully Furnished,5-10 years,76.4,70320.57
Nizamuddin colony,3,3,1551,Semi Furnished,New,75.82,78919.6
Ashoka garden,2,2,1172,Unfurnished,10+ years,49.91,48580.95
Arera Colony,5,4,2479,Fully Furnished,5-10 years,148.29,134547.39
Sonagiri,2,2,1165,Fully Furnished,1-5 years,64.6,72171.74
Vijay nagar,3,3,1591,Semi Furnished,10+ years,78.11,67214.0
Ayodhya bypass,4,3,2022,Fully Furnished,5-10 years,120.44,97997.98
Bairagarh,1,1,463,Unfurnished,10+ years,23.62,27501.8
Ashoka garden,3,3,1178,Semi Furnished,5-10 years,76.32,69872.03
Ayodhya bypass,5,4,2515,Fully Furnished,1-5 years,133.84,125456.21
Narela,3,3,1055,Fully Furnished,1-5 years,52.77,45654.77
Vijay nagar,2,2,1013,Fully Furnished,5-10 years,60.09,57511.95
ibrahimpura,5,4,2401,Fully Furnished,New,109.44,129284.4
Hoshangabad Road,1,1,756,Unfurnished,New,36.84,39566.45
Vijay nagar,5,4,2269,Semi Furnished,10+ years,122.66,136050.28
Lalghati,3,3,1508,Unfurnished,New,96.99,82211.18
Gulmohar,4,3,1534,Semi Furnished,5-10 years,93.0,97518.17
Roshanpura,1,1,704,Fully Furnished,New,46.68,46858.34
Bairagarh,4,3,1917,Fully Furnished,1-5 years,88.59,75196.91
Barkheda,3,3,1278,Fully Furnished,1-5 years,85.92,92775.17
Service road,1,1,486,Fully Furnished,1-5 years,28.6,27654.17
Kolar Road,1,1,403,Unfurnished,5-10 years,20.2,19129.07
Shanti Nagar,2,2,872,Semi Furnished,10+ years,44.63,36435.4
Roshanpura,2,2,1026,Unfurnished,10+ years,53.19,51814.84
Anand nagar,3,3,1418,Unfurnished,New,93.36,107043.43
Service road,5,4,2416,Semi Furnished,10+ years,103.34,93370.11
Indrapuri,2,2,930,Semi Furnished,5-10 years,58.96,66311.81
kohefiza,2,2,1161,Semi Furnished,New,51.01,54865.85
Roshanpura,3,3,1282,Semi Furnished,1-5 years,71.0,77025.84
Anand nagar,5,4,2975,Unfurnished,10+ years,131.13,133810.9
Nizamuddin colony,5,4,2591,Unfurnished,New,141.72,113442.08
Shivaji Nagar,5,4,2821,Unfurnished,5-10 years,158.61,184265.78
Roshanpura,2,2,742,Unfurnished,New,40.62,40622.94
Indrapuri,1,1,780,Fully Furnished,5-10 years,46.35,46846.1
chuna bhatti,5,4,2172,Semi Furnished,10+ years,130.78,113160.04
Anand nagar,2,2,1183,Fully Furnished,New,49.07,57428.15
Chuna Bhatti,1,1,405,Unfurnished,10+ years,26.83,32105.22
Bawadiya Kalan,3,3,1399,Unfurnished,10+ years,89.07,85753.15
Anand nagar,3,3,1007,Unfurnished,10+ years,52.08,61788.41
Gulmohar,4,3,1872,Fully Furnished,10+ years,100.95,99356.02
Habibganj,5,4,2454,Unfurnished,10+ years,164.02,136612.35
Chuna Bhatti,1,1,726,Unfurnished,10+ years,31.95,36447.88
Indrapuri,3,3,1527,Fully Furnished,5-10 years,94.71,112552.04
Gandhi nagar,2,2,1026,Fully Furnished,New,52.13,61304.04
Kolar hills,1,1,597,Fully Furnished,New,40.84,38517.41
Karond,4,3,1436,Semi Furnished,10+ years,72.32,77324.31
Shyamla Hills,1,1,714,Semi Furnished,New,47.45,45031.86
Lalghati,4,3,1576,Semi Furnished,10+ years,88.21,95571.2
Shanti Nagar,3,3,1014,Fully Furnished,10+ years,68.88,78517.03
kohefiza,1,1,497,Unfurnished,5-10 years,29.05,26991.89
Shanti Nagar,2,2,887,Unfurnished,5-10 years,60.91,58306.17
Gandhi nagar,2,2,754,Unfurnished,10+ years,46.25,39296.32
Shyamla Hills,3,3,1270,Semi Furnished,1-5 years,58.95,53574.89
Ratnagiri,4,3,2087,Semi Furnished,1-5 years,123.88,106855.27
Barkheda,1,1,727,Fully Furnished,10+ years,45.43,48729.41
Bawadiya Kalan,5,4,2928,Unfurnished,10+ years,133.26,157150.49
Bairagarh,3,3,1406,Unfurnished,10+ years,85.15,88191.01
Narela,5,4,2971,Semi Furnished,10+ years,122.46,133165.47
Roshanpura,5,4,2161,Unfurnished,10+ years,106.81,102947.66
Barkheda,3,3,1317,Fully Furnished,New,66.29,57948.15
New market,2,2,810,Semi Furnished,10+ years,48.87,52611.49
Shyamla Hills,1,1,678,Fully Furnished,5-10 years,47.18,54983.14
Barkheda,5,4,2343,Unfurnished,5-10 years,118.98,122902.93
Saket nagar,1,1,727,Semi Furnished,1-5 years,44.29,41448.82
Bittan Market,3,3,1410,Fully Furnished,New,79.69,74103.09
eidgah hills,1,1,492,Unfurnished,New,20.13,19230.95
New market,1,1,741,Fully Furnished,5-10 years,31.81,26616.45
Roshanpura,1,1,417,Fully Furnished,5-10 years,24.08,22653.41
ibrahimpura,4,3,2040,Semi Furnished,New,137.34,154286.05
Vikas Nagar,3,3,1539,Semi Furnished,New,88.12,91536.98
sultaniya road,2,2,1092,Fully Furnished,New,55.66,51417.1
Avadhpuri,1,1,490,Unfurnished,10+ years,23.62,26698.52
Ayodhya nagar,2,2,1028,Semi Furnished,10+ years,45.3,50186.98
Piplani,2,2,826,Unfurnished,10+ years,48.66,51413.41
Indrapuri,4,3,1689,Semi Furnished,New,80.6,86019.87
Prabhat petrol pump,4,3,1750,Fully Furnished,1-5 years,89.61,102920.2
Prabhat petrol pump,2,2,1038,Fully Furnished,5-10 years,51.02,50065.03
Roshanpura,4,3,1686,Semi Furnished,1-5 years,70.86,57601.08
eidgah hills,5,4,2956,Semi Furnished,5-10 years,189.64,165587.43
ibrahimpura,2,2,784,Unfurnished,5-10 years,32.51,27208.91
Bawadiya Kalan,3,3,1017,Unfurnished,5-10 years,43.39,42372.76
Arera Colony,5,4,2105,Semi Furnished,New,113.07,126878.55
Hoshangabad Road,3,3,1461,Unfurnished,10+ years,82.92,66384.14
Shanti Nagar,1,1,490,Fully Furnished,10+ years,32.47,29262.89
Vikas Nagar,2,2,1025,Fully Furnished,10+ years,53.57,54629.55
Shyamla Hills,5,4,2598,Unfurnished,5-10 years,112.24,127776.54
Chuna Bhatti,5,4,2688,Semi Furnished,10+ years,134.49,108015.31
Ratnagiri,3,3,1135,Unfurnished,10+ years,55.85,54593.74
Arera Colony,3,3,1415,Semi Furnished,New,86.34,102593.86
Narela,5,4,2154,Unfurnished,1-5 years,139.87,149069.49
Habibganj,1,1,411,Fully Furnished,10+ years,17.59,14524.13
jahangirabad,2,2,835,Unfurnished,5-10 years,56.54,52494.74
New market,2,2,730,Semi Furnished,New,39.37,44083.34
Service road,1,1,701,Fully Furnished,New,44.86,44010.76
Service road,4,3,1789,Semi Furnished,10+ years,83.49,91942.84
Bittan Market,4,3,1442,Fully Furnished,1-5 years,74.31,78995.53
Anand nagar,2,2,1081,Semi Furnished,1-5 years,52.48,49070.41
Anand nagar,5,4,2285,Semi Furnished,1-5 years,119.77,108871.17
Service road,1,1,621,Unfurnished,5-10 years,39.85,47287.13
Indrapuri,1,1,481,Unfurnished,10+ years,30.34,35152.12
Shanti Nagar,1,1,658,Semi Furnished,New,27.96,26897.19
Bawadiya Kalan,3,3,1260,Unfurnished,New,51.09,49533.23
Sonagiri,1,1,783,Unfurnished,10+ years,51.86,56750.97
Narela,4,3,1533,Semi Furnished,1-5 years,103.22,110078.72
MP Nagar,3,3,1286,Unfurnished,5-10 years,81.33,86743.67
Sonagiri,3,3,1048,Semi Furnished,10+ years,62.06,70944.88
Gandhi nagar,4,3,1863,Fully Furnished,10+ years,95.99,83666.77
Ayodhya nagar,3,3,1544,Fully Furnished,1-5 years,105.82,116643.69
VIP road,4,3,2048,Unfurnished,1-5 years,130.75,141994.6
Shanti Nagar,1,1,506,Semi Furnished,5-10 years,21.67,19472.66
Sonagiri,3,3,1143,Fully Furnished,5-10 years,64.66,68671.01
Nizamuddin colony,5,4,2089,Unfurnished,10+ years,116.77,100953.84
