location,floors,rooms,washroom,total_sqft,furnishing,age,price,rent
Kolar Road,4,7,2,2784,Unfurnished,23,13832459,43432
Roshanpura,3,5,4,1282,Furnished,5,6171793,17356
chuna bhatti,4,11,3,3385,Furnished,9,15972439,44711
Karond,5,16,3,4764,Semi-Furnished,16,23258396,66579
New market,5,11,1,4665,Unfurnished,27,32591715,103613
sultaniya road,4,13,2,3425,Furnished,4,17868014,56415
Tajul masjid,2,3,3,1145,Semi-Furnished,11,6281496,21031
Habibganj,4,5,2,3116,Furnished,11,17148426,56133
Arjun Nagar,2,3,4,817,Furnished,28,4988691,16736
Kolar hills,1,1,3,536,Furnished,12,2753654,9216
Saket nagar,1,2,3,628,Furnished,5,4271770,12479
Lalghati,4,9,1,2957,Unfurnished,8,14272061,40923
Indrapuri,5,7,3,3020,Unfurnished,17,12128895,30353
Roshanpura,5,18,3,4884,Furnished,22,23368434,67849
Gulmohar,2,3,4,860,Furnished,22,5570133,17823
Ashoka garden,4,5,1,3402,Unfurnished,21,17762294,52488
Prabhat petrol pump,2,3,4,803,Semi-Furnished,8,3885822,10140
Tajul masjid,4,6,2,2631,Semi-Furnished,27,14488460,47134
Tajul masjid,4,9,4,2340,Furnished,19,12810946,41803
Piplani,1,3,4,752,Unfurnished,26,5184171,15765
Prabhat petrol pump,2,3,2,878,Furnished,13,4271926,13330
Ayodhya bypass,3,5,2,1821,Furnished,6,9557241,29935
Prabhat petrol pump,4,5,1,2213,Unfurnished,18,10769653,32273
sultaniya road,2,3,1,1075,Unfurnished,17,5509447,19151
Avadhpuri,4,10,2,3282,Semi-Furnished,5,14400251,42392
Kolar hills,2,2,2,922,Semi-Furnished,18,4595380,12842
Avadhpuri,3,4,2,1325,Unfurnished,12,5924608,16465
Hoshangabad Road,3,3,4,1218,Semi-Furnished,27,6228320,16989
jahangirabad,5,5,3,3076,Unfurnished,28,14150701,36151
Sonagiri,1,1,2,422,Unfurnished,12,1985920,4287
New market,4,5,1,2478,Semi-Furnished,11,17338571,54988
Bawadiya Kalan,3,5,3,1424,Semi-Furnished,27,6484564,17983
Shyamla Hills,3,4,3,1769,Semi-Furnished,12,13208234,45089
Prabhat petrol pump,3,5,1,1600,Semi-Furnished,2,7909487,21573
New market,1,2,2,664,Furnished,19,4693341,16443
Saket nagar,4,6,2,2035,Semi-Furnished,9,13935364,46427
ibrahimpura,1,2,1,598,Semi-Furnished,8,2526599,8290
Shanti Nagar,2,3,4,992,Semi-Furnished,30,5812066,19032
Chuna Bhatti,4,10,3,3274,Furnished,28,15334646,40923
Prabhat petrol pump,1,1,2,596,Furnished,26,3015502,7678
Kolar Road,2,2,1,882,Furnished,7,4451421,15142
Anand nagar,1,1,3,473,Unfurnished,21,2743039,9992
sultaniya road,4,7,2,2409,Furnished,4,12616662,36959
Shivaji Nagar,3,5,1,1800,Unfurnished,27,10875372,37316
Vikas Nagar,3,5,4,1339,Semi-Furnished,30,9026357,32450
Vikas Nagar,2,4,2,1199,Semi-Furnished,29,8202000,28160
chuna bhatti,4,6,1,2199,Unfurnished,1,10286636,28702
Hoshangabad Road,4,6,2,2162,Semi-Furnished,23,10983442,30997
Indrapuri,1,2,2,658,Semi-Furnished,4,2588766,6001
New market,5,9,1,4459,Unfurnished,30,31193591,97873
Avadhpuri,4,6,1,2021,Unfurnished,27,8958099,25936
Prabhat petrol pump,2,3,3,1017,Unfurnished,24,5045912,14282
Minal,2,2,2,1185,Semi-Furnished,4,5507017,14040
Misrod,5,9,2,3820,Semi-Furnished,2,16002520,42878
Kamla Nagar,1,2,1,591,Furnished,24,3015071,8226
Indrapuri,2,3,4,897,Unfurnished,12,3493444,8605
Shivaji Nagar,3,4,1,1712,Furnished,3,10173696,36008
Bawadiya Kalan,3,4,3,1242,Furnished,20,5623946,14169
Bawadiya Kalan,1,1,1,577,Semi-Furnished,4,2552886,8884
Barkheda,3,4,2,1686,Unfurnished,11,7394214,23661
Misrod,5,6,3,3321,Unfurnished,4,14003879,35446
Barkheda,2,2,3,963,Unfurnished,29,4204370,13027
Minal,4,5,2,2119,Furnished,20,9990789,28570
Lalghati,4,7,4,2553,Unfurnished,15,12312424,34232
chuna bhatti,5,5,3,3410,Semi-Furnished,10,16094191,42902
sultaniya road,4,11,3,2821,Furnished,7,14696767,46133
Ashoka garden,2,2,2,1043,Furnished,14,5445178,16875
Prabhat petrol pump,5,11,3,4054,Semi-Furnished,18,19910756,57390
Piplani,2,2,3,983,Semi-Furnished,22,6867303,21448
Hoshangabad Road,4,13,2,3405,Unfurnished,19,17417452,52737
Bairagarh,1,1,1,707,Semi-Furnished,29,3230484,9726
jahangirabad,5,17,3,4681,Unfurnished,20,21468455,57883
Ayodhya nagar,3,6,4,1567,Semi-Furnished,2,9783928,34590
Hoshangabad Road,4,10,3,2907,Semi-Furnished,23,14888736,42620
Piplani,1,1,4,454,Semi-Furnished,13,3092436,8083
eidgah hills,1,2,1,537,Semi-Furnished,25,3280636,9392
Barkheda,4,8,1,2782,Unfurnished,10,12269621,36981
Kamla Nagar,4,11,1,3315,Furnished,29,17243773,51373
Roshanpura,3,5,4,1742,Furnished,29,8432212,23930
ibrahimpura,3,7,4,1963,Semi-Furnished,20,8425081,22662
Chuna Bhatti,3,5,4,1971,Semi-Furnished,9,9271906,26325
Kolar Road,4,4,2,2393,Unfurnished,17,11983794,36185
Nizamuddin colony,2,4,1,1043,Semi-Furnished,11,6819425,20291
Minal,2,2,1,994,Unfurnished,27,4581977,14460
Lalghati,4,6,4,3007,Furnished,17,14437695,43826
Nizamuddin colony,5,14,2,3866,Semi-Furnished,10,25134289,81437
ibrahimpura,3,5,1,1319,Semi-Furnished,26,5663696,12927
Vikas Nagar,1,2,2,564,Furnished,8,3788343,11082
Misrod,3,4,2,1239,Semi-Furnished,11,5126199,13113
Nizamuddin colony,4,5,3,2191,Unfurnished,27,14273955,46647
Nizamuddin colony,1,1,2,681,Unfurnished,12,4349688,12361
Shyamla Hills,3,5,2,1986,Furnished,2,14819928,50285
Misrod,1,2,4,557,Unfurnished,29,2323745,7808
chuna bhatti,5,13,3,3294,Unfurnished,15,15457414,43367
ibrahimpura,1,1,1,423,Semi-Furnished,17,1757794,5520
New market,5,5,4,3282,Semi-Furnished,16,22924864,72835
jahangirabad,5,7,1,3413,Semi-Furnished,10,15626251,39556
Kolar hills,4,5,2,2327,Furnished,4,11587353,34644
Arera Colony,1,1,3,418,Furnished,16,3182516,9230
Prabhat petrol pump,4,12,2,3421,Semi-Furnished,14,16770805,47956
Indrapuri,4,4,2,2330,Unfurnished,22,9253338,24809
Lalghati,1,1,1,713,Furnished,0,3409709,11774
ibrahimpura,4,13,4,3367,Semi-Furnished,27,14513898,36790
Bittan Market,5,11,2,4339,Unfurnished,26,30427758,94005
Misrod,3,4,1,1956,Semi-Furnished,2,8296677,22479
Saket nagar,3,4,3,1765,Furnished,5,11933734,39249
Saket nagar,5,5,1,3461,Semi-Furnished,19,23487976,79606
Chuna Bhatti,1,1,2,416,Semi-Furnished,7,1882246,5822
Avadhpuri,3,7,3,1892,Furnished,30,8378280,23723
Avadhpuri,4,9,2,2981,Furnished,4,13204964,39789
Ashoka garden,1,2,1,593,Semi-Furnished,16,3141459,9974
chuna bhatti,4,5,2,2125,Furnished,15,9949469,27097
kohefiza,4,6,2,2791,Unfurnished,12,12581972,31623
Habibganj,5,14,1,3750,Unfurnished,21,20547415,67715
Indrapuri,4,7,1,2399,Unfurnished,15,9525639,22046
Avadhpuri,2,3,4,888,Unfurnished,11,3821025,12141
Service road,2,3,1,972,Semi-Furnished,9,5720520,19673
Gandhi nagar,2,3,1,1146,Unfurnished,20,7116115,24443
Anand nagar,2,3,4,967,Furnished,30,5538804,19808
Vikas Nagar,5,7,1,4362,Furnished,0,29602629,101504
Sonagiri,4,6,4,2930,Furnished,25,13518808,34206
Gulmohar,3,3,2,1218,Semi-Furnished,17,7853986,25468
Tajul masjid,4,5,4,3183,Furnished,20,17423243,57010
Sonagiri,5,10,3,3004,Furnished,30,13773544,36096
Bittan Market,4,4,1,3343,Unfurnished,12,23326411,75180
Bawadiya Kalan,5,15,1,4570,Semi-Furnished,18,20484634,54807
Ratnagiri,5,5,1,3776,Furnished,29,17762761,48425
Narela,3,4,4,1459,Furnished,3,6300798,17615
Shivaji Nagar,3,4,1,1858,Unfurnished,1,11213302,39128
char Imli,1,1,2,437,Unfurnished,12,2818525,8191
Bairagarh,1,1,4,773,Semi-Furnished,25,3428338,10779
Piplani,1,2,1,587,Furnished,16,4108991,12514
Narela,3,5,2,1819,Furnished,5,7743737,20021
Vikas Nagar,4,5,1,2066,Semi-Furnished,10,14088832,47914
Misrod,1,1,2,775,Semi-Furnished,19,3275098,8213
sultaniya road,5,9,4,3048,Unfurnished,0,15776498,50554
Gulmohar,1,1,2,480,Unfurnished,3,3095266,10492
Karond,1,2,4,667,Unfurnished,3,3180757,8550
Tajul masjid,2,2,3,1028,Semi-Furnished,14,5713245,16538
Vikas Nagar,4,11,2,2941,Furnished,13,19920429,67601
Bittan Market,4,7,4,2324,Unfurnished,25,16204872,52343
Kamla Nagar,4,10,2,3291,Semi-Furnished,30,17104507,53498
Service road,3,3,3,1910,Furnished,1,11038835,35612
chuna bhatti,1,1,2,595,Unfurnished,24,2846950,9540
Bittan Market,5,6,4,4915,Unfurnished,8,34395546,109569
chuna bhatti,1,2,2,566,Semi-Furnished,27,2748352,8781
Barkheda,5,11,2,3585,Furnished,15,15713220,48262
MP Nagar,1,2,3,664,Furnished,14,5323118,18107
Arera Colony,4,5,1,2057,Semi-Furnished,0,15450339,49801
Shyamla Hills,2,2,1,849,Semi-Furnished,11,6393017,22462
Saket nagar,2,3,3,1068,Semi-Furnished,20,7184442,25388
Ayodhya bypass,5,12,4,4898,Semi-Furnished,13,25977047,79309
Misrod,2,3,4,953,Unfurnished,21,3968650,9600
Govindpura,1,2,2,642,Furnished,18,3393469,10765
Chuna Bhatti,5,8,3,3611,Semi-Furnished,8,16909201,46152
Service road,3,5,4,2000,Furnished,19,11684748,38238
Roshanpura,4,7,1,2249,Furnished,16,10729171,31102
chuna bhatti,3,5,2,1439,Semi-Furnished,10,6664898,19265
Arjun Nagar,3,7,3,1917,Semi-Furnished,22,11427254,38567
Avadhpuri,5,10,3,3533,Semi-Furnished,6,15463217,47209
Arera Colony,1,1,4,679,Semi-Furnished,20,5091213,15342
VIP road,2,3,3,1029,Furnished,16,6785752,21056
Lalghati,4,5,2,2861,Semi-Furnished,2,13748053,38112
MP Nagar,4,6,4,2661,Unfurnished,23,21304309,67842
Kolar hills,3,6,2,1672,Semi-Furnished,10,8355539,25491
Anand nagar,4,8,4,3169,Unfurnished,30,18412623,61403
eidgah hills,3,4,3,1906,Semi-Furnished,7,11419171,39901
Roshanpura,1,1,2,443,Unfurnished,1,2133300,7574
VIP road,4,10,2,3438,Unfurnished,30,22354871,70318
Bairagarh,3,4,4,1993,Semi-Furnished,20,9023995,25158
Vijay nagar,1,1,4,511,Furnished,2,3742240,13401
Arjun Nagar,2,4,2,1041,Furnished,8,6337538,19714
Anand nagar,5,5,1,4179,Furnished,11,24148075,80021
New market,2,2,2,852,Furnished,25,5875634,20742
Shanti Nagar,5,10,3,3226,Furnished,16,19082074,59370
Chuna Bhatti,3,5,2,1268,Semi-Furnished,13,5951211,15060
Shivaji Nagar,5,8,2,3026,Semi-Furnished,19,18064148,62065
Indrapuri,3,4,4,1746,Semi-Furnished,9,6957427,15763
Arera Colony,3,6,2,1788,Unfurnished,6,13509347,41691
Ashoka garden,5,13,3,3985,Furnished,22,20707075,63735
Barkheda,3,3,3,1664,Unfurnished,26,7389254,20053
jahangirabad,1,2,3,561,Furnished,6,2608384,7341
Bittan Market,5,12,1,4391,Semi-Furnished,6,30817473,97819
MP Nagar,5,5,4,3183,Furnished,21,25463747,78859
Minal,5,9,4,4512,Semi-Furnished,16,21142526,58377
Narela,5,9,3,4034,Furnished,22,17391789,43045
Ashoka garden,5,7,4,4998,Furnished,29,25900042,78905
Arjun Nagar,2,3,1,1103,Unfurnished,24,6644160,23798
Lalghati,2,4,4,1147,Furnished,14,5518497,17148
Vijay nagar,4,7,4,2543,Unfurnished,13,18389916,59658
Habibganj,1,3,4,780,Furnished,18,4222378,13770
Ratnagiri,5,12,2,4142,Furnished,30,19425256,53797
Sonagiri,1,1,3,621,Semi-Furnished,0,2785863,9087
Shivaji Nagar,4,8,3,3272,Semi-Furnished,28,19628101,64747
Nizamuddin colony,3,3,4,1203,Unfurnished,30,7842362,24837
Indrapuri,4,6,2,3366,Unfurnished,11,13449035,32683
Narela,3,5,3,1354,Furnished,10,5738030,13487
Bawadiya Kalan,3,3,1,1708,Unfurnished,7,7661836,21826
char Imli,5,12,4,4379,Unfurnished,23,28990331,92825
Ayodhya nagar,2,3,2,910,Furnished,10,5677212,21560
Anand nagar,1,1,1,412,Unfurnished,7,2342499,9065
Bairagarh,4,6,1,3342,Unfurnished,29,15043946,41380
Vijay nagar,2,4,1,1043,Unfurnished,13,7450196,24821
Piplani,4,4,4,3481,Furnished,1,24318243,77262
kohefiza,1,2,1,500,Furnished,26,2257845,5317
Kolar Road,1,1,3,727,Unfurnished,28,3649583,10112
Sonagiri,4,6,4,3224,Unfurnished,18,14914845,37071
Vijay nagar,1,2,1,610,Semi-Furnished,19,4468437,15566
Chuna Bhatti,4,4,2,2389,Semi-Furnished,10,11307098,31095
Narela,5,12,4,3330,Furnished,13,14240806,38276
kohefiza,2,2,2,909,Furnished,16,4075671,11274
Tajul masjid,4,9,3,3363,Semi-Furnished,11,18568293,59026
MP Nagar,4,5,3,2816,Semi-Furnished,0,22535626,69585
Avadhpuri,4,5,2,2018,Unfurnished,21,8781010,25761
Ayodhya nagar,5,6,1,4611,Unfurnished,18,28564931,105675
ibrahimpura,2,3,3,881,Unfurnished,26,3802221,7886
Barkheda,4,9,3,2504,Unfurnished,2,10921458,30655
Shanti Nagar,4,5,4,3245,Semi-Furnished,4,19239164,59833
chuna bhatti,5,11,4,4512,Furnished,21,21129698,58492
Gandhi nagar,1,1,3,459,Semi-Furnished,26,2764191,11424
Chuna Bhatti,3,6,2,1563,Semi-Furnished,29,7288241,20829
chuna bhatti,3,3,4,1235,Furnished,13,5780323,17390
MP Nagar,1,2,2,672,Semi-Furnished,18,5404426,14929
Barkheda,5,6,2,3446,Unfurnished,8,15147771,44816
Nizamuddin colony,4,10,2,2609,Furnished,9,16926438,56718
char Imli,3,5,4,1290,Unfurnished,27,8521660,26542
Roshanpura,3,6,1,1799,Semi-Furnished,10,8546798,25513
Tajul masjid,5,15,4,3865,Semi-Furnished,24,21301145,69241
Bairagarh,2,3,2,985,Semi-Furnished,18,4495484,12479
Saket nagar,2,3,4,957,Semi-Furnished,28,6512971,23734
Tajul masjid,4,9,3,3010,Furnished,7,16534805,55769
Nizamuddin colony,1,2,1,566,Furnished,16,3653776,10866
Roshanpura,2,2,4,883,Furnished,0,4326592,10703
VIP road,1,1,3,411,Semi-Furnished,7,2727102,8169
Bawadiya Kalan,1,1,3,450,Semi-Furnished,28,2098944,5439
Vijay nagar,3,6,4,1977,Furnished,15,14188768,47716
Vijay nagar,5,13,2,3756,Semi-Furnished,29,27036246,88574
Ayodhya bypass,3,5,2,1491,Semi-Furnished,19,7875854,22530
Service road,3,6,3,1694,Furnished,23,9867205,33638
Hoshangabad Road,1,1,1,429,Unfurnished,30,2165095,5319
Karond,1,1,3,569,Unfurnished,25,2712718,9107
Vikas Nagar,2,4,3,1061,Semi-Furnished,9,7155152,22411
Kamla Nagar,3,4,1,1641,Semi-Furnished,2,8530168,28080
Karond,1,3,3,768,Furnished,26,3802635,12447
Piplani,3,4,1,1776,Semi-Furnished,9,12475553,40101
ibrahimpura,1,1,1,532,Unfurnished,30,2201761,7538
kohefiza,2,3,1,1084,Furnished,30,4782380,12610
ibrahimpura,5,5,4,4618,Unfurnished,13,19877661,51704
Lalghati,3,5,4,1494,Furnished,12,7243342,22353
Hoshangabad Road,2,3,2,828,Unfurnished,2,4163301,11496
VIP road,3,4,4,1731,Unfurnished,8,11279027,35867
Shanti Nagar,5,12,4,4868,Furnished,13,28686690,91322
sultaniya road,4,7,1,2349,Unfurnished,0,12255786,38439
Vikas Nagar,3,4,3,1564,Unfurnished,13,10624588,36872
New market,3,4,2,1812,Unfurnished,30,12782733,41075
MP Nagar,4,4,3,2489,Unfurnished,10,19972838,61853
Vijay nagar,4,11,3,3096,Semi-Furnished,30,22363164,72327
Ayodhya nagar,4,13,2,3349,Unfurnished,8,20862094,75872
Arera Colony,5,14,1,3966,Furnished,12,29681987,93397
Avadhpuri,3,4,4,1335,Furnished,11,5833113,16471
char Imli,2,2,1,1155,Unfurnished,25,7650917,22945
Kolar hills,4,10,4,2580,Unfurnished,12,12986040,37809
VIP road,3,4,4,1309,Furnished,17,8438157,25559
Shanti Nagar,1,1,1,627,Semi-Furnished,26,3635679,13196
Bairagarh,4,6,2,2250,Semi-Furnished,3,10208130,25376
Saket nagar,2,4,3,1077,Unfurnished,6,7335317,23058
Gandhi nagar,5,14,1,4473,Unfurnished,4,27653020,101794
chuna bhatti,5,13,4,4451,Semi-Furnished,21,21010423,56495
chuna bhatti,5,10,2,4323,Semi-Furnished,4,20280119,56752
Ayodhya nagar,1,2,4,709,Furnished,22,4397149,14986
VIP road,5,10,4,4472,Unfurnished,11,28972288,95229
Arera Colony,3,7,2,1912,Unfurnished,26,14410065,47583
Ashoka garden,4,7,3,2669,Unfurnished,19,13901361,40896
Karond,5,11,2,4384,Semi-Furnished,2,21499137,63111
Vijay nagar,5,12,1,4800,Semi-Furnished,5,34631001,114143
MP Nagar,3,4,3,1701,Semi-Furnished,21,13617035,41086
Hoshangabad Road,3,5,4,1564,Semi-Furnished,13,8024811,24228
Govindpura,2,4,1,1188,Furnished,29,6259637,17930
Shivaji Nagar,5,11,2,3668,Furnished,24,22030602,74205
Sonagiri,2,2,3,846,Furnished,0,3854138,8938
Bittan Market,1,1,2,681,Unfurnished,18,4835875,14280
Ayodhya bypass,3,6,4,1523,Unfurnished,28,8141732,26174
kohefiza,3,3,3,1590,Furnished,8,7222675,18074
MP Nagar,3,3,1,1532,Furnished,21,12156861,39060
Govindpura,2,3,2,1130,Semi-Furnished,24,6012746,17542
Anand nagar,4,10,2,2714,Furnished,3,15713700,50333
Narela,4,7,1,2839,Semi-Furnished,13,12140117,32769
char Imli,4,7,1,2475,Furnished,15,16379254,51968
Kamla Nagar,1,1,4,466,Semi-Furnished,28,2471640,5868
VIP road,5,6,3,3404,Furnished,10,22116645,70917
Barkheda,3,3,2,1214,Semi-Furnished,20,5380267,13942
Habibganj,1,1,4,693,Semi-Furnished,24,3905166,12769
Arera Colony,5,7,2,3132,Unfurnished,23,23445864,75953
Arera Colony,3,3,1,1852,Semi-Furnished,12,13960298,43736
Arjun Nagar,2,3,1,902,Unfurnished,16,5362218,16875
Govindpura,5,7,2,3074,Furnished,23,16375508,50011
Indrapuri,2,2,4,1088,Semi-Furnished,11,4281228,10982
Avadhpuri,4,4,3,3294,Semi-Furnished,23,14505395,41464
Gandhi nagar,5,14,1,3597,Unfurnished,9,22332315,81684
Vijay nagar,5,10,2,3879,Furnished,24,27984231,92166
Kolar Road,4,8,1,2778,Furnished,29,13874406,42103
Indrapuri,5,7,3,3731,Furnished,0,14828685,36960
Kamla Nagar,2,4,3,1070,Unfurnished,21,5600149,15992
Hoshangabad Road,3,4,1,1992,Unfurnished,1,10165976,30987
VIP road,2,2,3,1129,Semi-Furnished,14,7279213,25392
Kolar Road,1,2,4,784,Unfurnished,24,3946008,9997
Saket nagar,4,5,1,2103,Semi-Furnished,23,14324714,50116
Saket nagar,3,5,3,1825,Semi-Furnished,19,12500322,42525
Gulmohar,4,5,3,2044,Semi-Furnished,16,13110278,40984
Barkheda,4,7,4,2468,Furnished,14,10827133,33947
Narela,2,3,3,898,Semi-Furnished,21,3766541,11247
kohefiza,2,2,3,860,Semi-Furnished,3,3931982,9108
New market,5,7,2,3868,Unfurnished,25,27037714,85137
Bittan Market,3,3,4,1858,Semi-Furnished,28,13082275,42262
Govindpura,5,5,1,4898,Semi-Furnished,4,25948862,78525
Narela,4,9,4,2646,Furnished,5,11336412,28552
Saket nagar,3,6,4,1960,Semi-Furnished,26,13277369,46208
Barkheda,4,4,4,3122,Semi-Furnished,22,13680171,42346
ibrahimpura,4,11,3,2918,Unfurnished,0,12453417,30871
Habibganj,5,6,1,4194,Semi-Furnished,17,23131623,74696
Lalghati,3,3,1,1200,Unfurnished,3,5679127,18757
Arjun Nagar,5,5,3,3823,Furnished,1,23032092,78040
Narela,3,4,4,1466,Unfurnished,28,6258201,16423
Bairagarh,4,6,3,2186,Furnished,16,9810310,26082
Bawadiya Kalan,5,7,3,3462,Semi-Furnished,6,15577475,42974
Anand nagar,1,1,4,628,Furnished,14,3595194,13773
Tajul masjid,3,4,3,1352,Furnished,10,7337391,26179
Habibganj,1,1,2,643,Furnished,19,3629806,12360
eidgah hills,2,2,2,874,Unfurnished,22,5246237,16772
Minal,4,8,3,3496,Semi-Furnished,13,16500675,45402
Bawadiya Kalan,4,4,2,2329,Furnished,3,10516393,29778
Lalghati,4,6,3,2064,Semi-Furnished,23,9827902,29954
Sonagiri,1,1,2,511,Furnished,30,2346546,5390
chuna bhatti,1,2,4,555,Semi-Furnished,29,2645270,8075
Service road,5,12,3,3642,Unfurnished,19,21195885,69154
VIP road,4,7,3,3265,Semi-Furnished,1,21199100,68577
sultaniya road,1,2,2,628,Semi-Furnished,21,3264708,9613
Shyamla Hills,1,1,3,638,Semi-Furnished,3,4712703,15925
MP Nagar,3,6,2,1840,Semi-Furnished,22,14649225,44769
Govindpura,1,1,3,554,Furnished,14,2988647,7032
Bittan Market,5,8,2,3949,Unfurnished,14,27704994,85094
Bairagarh,5,16,2,4294,Unfurnished,15,19318098,50879
chuna bhatti,1,3,4,772,Unfurnished,21,3619066,9914
Bawadiya Kalan,5,9,3,4704,Furnished,26,21099086,55024
Ashoka garden,5,13,2,4353,Unfurnished,25,22728582,70819
New market,5,16,1,4550,Semi-Furnished,8,31819699,100824
Indrapuri,3,5,4,1758,Unfurnished,18,7019157,17571
MP Nagar,1,2,3,657,Furnished,7,5186905,17582
Hoshangabad Road,2,3,2,1151,Unfurnished,15,5951695,18966
eidgah hills,4,9,1,2943,Unfurnished,19,17658410,57905
char Imli,2,2,1,979,Semi-Furnished,0,6509618,20627
Narela,5,6,4,3301,Semi-Furnished,11,14253036,35395
Arera Colony,1,2,1,686,Unfurnished,19,5171418,15679
jahangirabad,1,2,4,564,Semi-Furnished,6,2508480,8517
Govindpura,2,4,3,1031,Semi-Furnished,14,5537450,15245
Govindpura,4,9,2,2722,Unfurnished,29,14341093,43270
Minal,2,3,1,1129,Furnished,19,5281060,16427
chuna bhatti,2,2,3,889,Unfurnished,20,4253733,11822
Govindpura,5,14,3,4332,Furnished,22,22929847,67969
Kolar hills,5,11,1,4552,Semi-Furnished,12,22736716,68607
Vijay nagar,1,2,4,752,Semi-Furnished,7,5443434,18380
Govindpura,5,5,1,3720,Unfurnished,9,19792185,61360
Arera Colony,2,4,3,1059,Furnished,18,7920289,27366
Lalghati,1,1,2,662,Furnished,17,3104778,9140
jahangirabad,2,2,4,840,Semi-Furnished,24,3910485,9276
kohefiza,5,15,4,3800,Unfurnished,25,17030155,46717
Ashoka garden,1,2,3,746,Semi-Furnished,30,3914243,10930
Service road,3,7,3,1788,Semi-Furnished,10,10356357,35919
Misrod,2,2,1,1061,Semi-Furnished,18,4415840,11878
Saket nagar,4,8,2,2573,Unfurnished,10,17504526,58464
Narela,2,3,2,960,Unfurnished,24,4059810,11873
jahangirabad,3,3,2,1234,Furnished,30,5705069,16038
Ashoka garden,4,9,2,3300,Furnished,15,17247637,51362
Narela,2,3,2,835,Unfurnished,15,3546075,8179
MP Nagar,4,4,3,2113,Furnished,18,16953038,51560
Barkheda,1,1,1,789,Furnished,27,3508214,10000
Karond,1,1,4,514,Unfurnished,10,2584048,5409
Service road,2,4,1,1098,Unfurnished,9,6348945,21906
Ayodhya bypass,3,4,3,1806,Unfurnished,21,9597541,28546
Sonagiri,2,2,4,829,Furnished,28,3892648,8525
Govindpura,3,3,4,1341,Unfurnished,6,7163858,20891
Bairagarh,4,11,2,2958,Furnished,21,13390597,36193
Bairagarh,1,1,4,567,Semi-Furnished,28,2523587,5316
Gandhi nagar,2,2,4,802,Semi-Furnished,2,5029667,18646
Gandhi nagar,1,2,4,500,Unfurnished,4,3005682,13215
chuna bhatti,1,2,3,713,Unfurnished,23,3383467,8317
Narela,3,6,1,1690,Semi-Furnished,19,7219313,17208
Shivaji Nagar,5,17,2,4381,Furnished,30,26238348,87705
Indrapuri,3,3,4,1261,Furnished,24,5099730,10898
ibrahimpura,5,7,3,4731,Unfurnished,29,20334317,52830
Kolar Road,2,3,4,1051,Semi-Furnished,14,5199891,16253
Shivaji Nagar,2,4,2,1005,Furnished,2,6100409,18800
Kamla Nagar,3,7,1,1793,Unfurnished,19,9401370,30162
Roshanpura,4,8,2,3061,Unfurnished,20,14734911,42374
New market,4,7,1,2369,Furnished,6,16533790,53488
Tajul masjid,3,5,2,1795,Semi-Furnished,4,9801013,31049
Ayodhya nagar,2,4,4,1189,Semi-Furnished,25,7410614,25742
Saket nagar,2,3,3,1012,Semi-Furnished,26,6812709,23977
Ayodhya bypass,3,4,1,1318,Furnished,19,6892850,22838
Saket nagar,1,1,4,633,Semi-Furnished,9,4402550,13084
Hoshangabad Road,1,1,2,479,Furnished,0,2484019,6252
Arera Colony,5,10,4,4665,Unfurnished,10,34925867,110661
Vikas Nagar,2,3,2,1165,Unfurnished,28,7937599,27535
Shanti Nagar,3,3,1,1868,Semi-Furnished,26,11090798,34482
Misrod,5,5,2,3055,Semi-Furnished,16,12886376,35209
Ayodhya bypass,3,6,2,1571,Furnished,6,8379966,24057
Hoshangabad Road,3,5,1,1429,Unfurnished,15,7387207,21670
Shivaji Nagar,1,1,3,727,Unfurnished,12,4433491,13101
chuna bhatti,3,3,4,1480,Furnished,24,7043038,19300
Shivaji Nagar,1,1,4,597,Semi-Furnished,30,3597362,11772
MP Nagar,4,6,2,2679,Furnished,8,21442622,65484
kohefiza,1,2,3,555,Unfurnished,27,2570566,5429
char Imli,3,4,3,1383,Unfurnished,11,9149355,28851
Avadhpuri,3,5,3,1686,Unfurnished,7,7476972,21345
Gulmohar,5,6,4,4367,Unfurnished,28,27864255,91789
Shanti Nagar,1,2,3,749,Semi-Furnished,5,4509280,15375
sultaniya road,2,4,1,1192,Furnished,9,6145886,19166
VIP road,4,8,1,2834,Unfurnished,19,18352075,61123
Indrapuri,5,9,1,3590,Unfurnished,7,14336278,36651
Habibganj,3,3,4,1526,Semi-Furnished,18,8337839,28103
Prabhat petrol pump,1,1,2,626,Furnished,21,2968710,10555
MP Nagar,3,5,3,1366,Semi-Furnished,10,10878583,34324
Roshanpura,5,7,2,4082,Unfurnished,7,19602535,57098
Vikas Nagar,5,7,2,3474,Furnished,28,23680783,78975
Ayodhya bypass,1,1,4,705,Unfurnished,2,3830590,10373
New market,2,3,2,911,Semi-Furnished,30,6324460,21080
Saket nagar,1,2,3,732,Furnished,6,4923186,15218
Minal,1,2,1,581,Semi-Furnished,23,2827219,5704
Ayodhya nagar,5,5,3,4663,Unfurnished,11,28854524,106585
Tajul masjid,1,2,2,676,Unfurnished,11,3735026,13592
Service road,2,3,2,999,Semi-Furnished,29,5879340,20790
Tajul masjid,3,5,3,1355,Furnished,30,7432710,25166
Barkheda,2,2,3,959,Unfurnished,2,4261229,13143
Avadhpuri,2,3,4,1063,Unfurnished,28,4580016,15273
Avadhpuri,5,13,3,4666,Unfurnished,11,20501581,62387
